text_en,text_it
confident,sicuro
playful,giocoso
professional,professionale
creative,creativo
reliable,affidabile
innovative,innovativo
trustworthy,degno di fiducia
modern,moderno
traditional,tradizionale
bold,audace
elegant,elegante
friendly,amichevole
serious,serio
energetic,energico
calm,tranquillo
sophisticated,sofisticato
casual,informale
luxurious,lussuoso
affordable,conveniente
premium,premium
authentic,autentico
unique,unico
timeless,senza tempo
cutting-edge,all'avanguardia
established,affermato
emerging,emergente
global,globale
local,locale
inclusive,inclusivo
exclusive,esclusivo
